sample_id,image_path,split,symmetry_error,face_aspect_ratio,midface_length_ratio,lowerface_length_ratio,jaw_width_ratio,jaw_angle_sharpness,chin_length_ratio,chin_width_ratio,cheekbone_width_ratio,lower_cheek_ratio,eye_openness_ratio,eye_size_ratio,eye_spacing_ratio,eye_tilt_deg,brow_height_ratio,brow_tilt_deg,nose_width_ratio,nose_length_ratio,nose_tip_deviation_ratio,mouth_width_ratio,mouth_corner_tilt_deg,lip_thickness_ratio,upper_lip_ratio,philtrum_ratio,y_symmetry_error,y_face_aspect_ratio,y_midface_length_ratio,y_lowerface_length_ratio,y_jaw_width_ratio,y_jaw_angle_sharpness,y_chin_length_ratio,y_chin_width_ratio,y_cheekbone_width_ratio,y_lower_cheek_ratio,y_eye_openness_ratio,y_eye_size_ratio,y_eye_spacing_ratio,y_eye_tilt_deg,y_brow_height_ratio,y_brow_tilt_deg,y_nose_width_ratio,y_nose_length_ratio,y_nose_tip_deviation_ratio,y_mouth_width_ratio,y_mouth_corner_tilt_deg,y_lip_thickness_ratio,y_upper_lip_ratio,y_philtrum_ratio,label_method,consent_flag,source
syn_0030,data/raw/images/syn_0030.jpg,train,0.003198,0.601439,0.235280,0.388421,0.788205,97.004292,0.145348,0.206353,0.941610,0.824434,0.279490,0.087556,1.031430,5.750908,0.068340,2.250155,0.298591,0.283390,0.007908,0.480798,4.076181,0.034109,0.051001,0.063186,low,low,low,ok,low,low,ok,ok,ok,high,ok,low,ok,ok,ok,low,high,ok,ok,ok,high,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0031,data/raw/images/syn_0031.jpg,train,0.043764,0.803267,0.306915,0.303886,1.142644,103.616115,0.128846,0.192004,1.001345,0.805214,0.194373,0.126690,1.132036,2.885309,0.055596,5.099866,0.244710,0.300909,0.006801,0.516761,-0.874869,0.018149,0.046127,0.071187,high,high,ok,low,high,low,ok,low,high,ok,low,ok,ok,ok,low,ok,ok,ok,ok,ok,low,low,ok,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0032,data/raw/images/syn_0032.jpg,train,0.011122,0.860449,0.299659,0.301779,0.821600,120.920470,0.104671,0.314983,0.870455,0.820857,0.367608,0.117270,0.900621,3.044268,0.087244,11.503008,0.261985,0.243991,0.012423,0.446332,-3.958090,0.026420,0.037811,0.062042,ok,high,ok,low,low,ok,low,high,low,ok,high,ok,low,ok,ok,high,ok,low,ok,ok,low,ok,low,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0033,data/raw/images/syn_0033.jpg,train,0.041330,0.831525,0.257072,0.336630,0.928215,130.735427,0.127438,0.214295,1.030346,0.773553,0.250881,0.122998,1.136955,0.424253,0.075032,3.334558,0.250261,0.375077,0.019417,0.475373,-0.832780,0.029509,0.067609,0.048260,high,high,ok,ok,ok,high,ok,ok,high,ok,ok,ok,ok,low,ok,low,ok,high,high,ok,low,ok,high,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0034,data/raw/images/syn_0034.jpg,train,0.035405,0.637582,0.268398,0.447138,0.739451,132.260958,0.084459,0.216397,0.911373,0.829458,0.090727,0.072055,0.965098,4.129133,0.062136,7.116532,0.218484,0.283949,0.003532,0.492201,2.953550,0.043463,0.047123,0.051184,high,low,ok,high,low,high,low,ok,ok,high,low,low,ok,ok,low,ok,low,ok,low,ok,ok,high,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0035,data/raw/images/syn_0035.jpg,train,0.018573,0.702305,0.277920,0.281891,0.906023,107.017701,0.111291,0.156475,0.978050,0.771563,0.348970,0.126808,0.794496,0.207062,0.095159,4.937269,0.221838,0.292825,0.010230,0.429407,0.684637,0.028172,0.023920,0.061032,ok,ok,ok,low,ok,low,low,low,high,ok,high,ok,low,low,ok,low,low,ok,ok,low,ok,ok,low,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0036,data/raw/images/syn_0036.jpg,train,0.015566,0.739567,0.268499,0.340255,0.900783,113.244835,0.135229,0.225973,0.915879,0.755168,0.282821,0.118785,1.098145,4.515067,0.095179,6.354106,0.259810,0.289333,0.014887,0.490273,1.971274,0.030445,0.052765,0.048911,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0037,data/raw/images/syn_0037.jpg,train,0.038514,0.750493,0.269566,0.406676,0.932564,129.703170,0.091294,0.191447,0.929772,0.801325,0.337434,0.094784,1.069081,11.718738,0.093838,11.482252,0.259328,0.330705,0.030040,0.485332,4.559946,0.024999,0.062081,0.065851,high,ok,ok,high,ok,high,low,low,ok,ok,high,low,ok,high,ok,high,ok,high,high,ok,high,low,ok,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0038,data/raw/images/syn_0038.jpg,train,0.008976,0.785887,0.252990,0.319738,0.879917,141.183877,0.149275,0.257431,0.883410,0.784650,0.209407,0.105722,1.175346,3.865609,0.109026,7.190334,0.253072,0.351067,0.005514,0.404012,4.753192,0.035314,0.029018,0.055534,low,high,ok,low,ok,high,ok,high,ok,ok,low,ok,high,ok,high,ok,ok,high,low,low,high,ok,low,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0039,data/raw/images/syn_0039.jpg,train,0.013155,0.824690,0.250840,0.330962,0.816272,105.351327,0.118985,0.162563,0.868440,0.683605,0.190163,0.081008,0.971826,1.607090,0.055471,9.913084,0.258317,0.282721,0.007360,0.559644,2.099535,0.035803,0.023968,0.047155,ok,high,low,ok,low,low,ok,low,low,low,low,low,ok,ok,low,ok,ok,ok,ok,high,ok,ok,low,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0040,data/raw/images/syn_0040.jpg,train,0.001000,0.694428,0.294932,0.326285,0.916303,105.727000,0.157274,0.157856,0.906916,0.805188,0.312155,0.116818,1.340957,2.549531,0.070980,-3.038030,0.321913,0.285240,0.001000,0.546045,4.588765,0.032867,0.037781,0.060028,low,ok,ok,ok,ok,low,ok,low,ok,ok,ok,ok,high,ok,ok,low,high,ok,low,high,high,ok,low,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0041,data/raw/images/syn_0041.jpg,train,0.010543,0.649754,0.321735,0.253370,0.919701,123.512261,0.201530,0.233007,0.817078,0.729833,0.283880,0.128889,1.197122,-2.858865,0.073401,11.879444,0.314039,0.374441,0.008098,0.534880,5.779281,0.041585,0.063684,0.064934,ok,low,high,low,ok,ok,high,ok,low,low,ok,ok,high,low,ok,high,high,high,ok,high,high,high,high,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0042,data/raw/images/syn_0042.jpg,train,0.008521,0.633165,0.319314,0.342647,0.878031,111.055359,0.128213,0.229310,0.868907,0.784110,0.294763,0.118066,0.938456,6.753169,0.117453,5.595028,0.303206,0.335571,0.001000,0.441940,-0.089601,0.038254,0.057262,0.060693,low,low,high,ok,ok,ok,ok,ok,low,ok,ok,ok,ok,high,high,ok,high,high,low,low,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0043,data/raw/images/syn_0043.jpg,train,0.019909,0.706516,0.272535,0.344714,0.877020,117.642690,0.141284,0.212727,0.931332,0.793757,0.303198,0.124446,1.056957,4.588371,0.083049,7.348185,0.271282,0.317185,0.016942,0.480440,1.702669,0.032833,0.054992,0.056858,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0044,data/raw/images/syn_0044.jpg,train,0.016546,0.708373,0.350359,0.368236,0.884691,128.584231,0.144510,0.231665,0.916822,0.706775,0.278142,0.091578,1.081523,-0.135034,0.098334,10.996939,0.269815,0.295995,0.016163,0.381750,-1.242050,0.030810,0.059143,0.054047,ok,ok,high,ok,ok,high,ok,ok,ok,low,ok,low,ok,low,high,ok,ok,ok,ok,low,low,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0045,data/raw/images/syn_0045.jpg,train,0.005945,0.728007,0.261852,0.306570,0.903065,115.480262,0.175894,0.246621,0.956734,0.799300,0.229289,0.096609,0.829326,14.076544,0.058411,7.160673,0.247386,0.288756,0.006159,0.386583,-0.995484,0.020875,0.053479,0.046790,low,ok,ok,low,ok,ok,high,ok,high,ok,low,low,low,high,low,ok,ok,ok,ok,low,low,low,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0046,data/raw/images/syn_0046.jpg,train,0.009754,0.732953,0.256689,0.406605,0.852967,120.701881,0.100241,0.246275,0.899741,0.804525,0.299800,0.115664,1.082616,2.651462,0.106922,11.737155,0.276887,0.252794,0.001007,0.446807,0.887494,0.035584,0.044242,0.069125,ok,ok,ok,high,ok,ok,low,ok,ok,ok,ok,ok,ok,ok,high,high,ok,low,low,ok,ok,ok,low,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0047,data/raw/images/syn_0047.jpg,train,0.018043,0.599233,0.260987,0.230741,0.827379,111.410466,0.121688,0.206990,0.900295,0.744376,0.370150,0.150373,0.878724,8.388650,0.047573,4.741551,0.313382,0.210418,0.017748,0.417325,1.140000,0.030558,0.075366,0.045273,ok,low,ok,low,ok,ok,ok,ok,ok,ok,high,high,low,high,low,low,high,low,ok,low,ok,ok,high,low,percentile_p20_p80,synthetic,synthetic_v1
syn_0048,data/raw/images/syn_0048.jpg,train,0.017172,0.757621,0.269929,0.318897,0.875856,119.122138,0.166522,0.182278,0.897543,0.799377,0.269970,0.115368,1.047450,1.564562,0.064006,9.762921,0.221671,0.346615,0.014173,0.416173,2.207567,0.033338,0.064146,0.068906,ok,ok,ok,low,ok,ok,high,low,ok,ok,ok,ok,ok,ok,low,ok,low,high,ok,low,ok,ok,high,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0049,data/raw/images/syn_0049.jpg,train,0.013603,0.677534,0.255761,0.310946,0.827749,121.414029,0.140458,0.200346,0.883087,0.800873,0.249904,0.093996,1.027249,3.074272,0.058599,11.308705,0.289610,0.301636,0.013310,0.506365,1.422694,0.039130,0.074872,0.055966,ok,ok,ok,low,ok,ok,ok,ok,ok,ok,ok,low,ok,ok,low,high,high,ok,ok,ok,ok,high,high,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0050,data/raw/images/syn_0050.jpg,train,0.019321,0.733102,0.276620,0.345896,0.895855,113.293707,0.153416,0.228704,0.922346,0.780766,0.306270,0.114086,1.006493,3.476631,0.078691,6.993531,0.261346,0.301359,0.009965,0.500038,0.629954,0.029447,0.056128,0.054378,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0051,data/raw/images/syn_0051.jpg,train,0.023013,0.682862,0.238666,0.327723,0.832148,124.299952,0.125601,0.250457,0.949404,0.842436,0.334043,0.139609,1.165478,2.191577,0.074762,0.679491,0.270211,0.273049,0.016015,0.506374,-1.880234,0.023889,0.050808,0.048789,ok,ok,low,ok,ok,ok,ok,high,ok,high,high,high,ok,ok,ok,low,ok,ok,ok,ok,low,low,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0052,data/raw/images/syn_0052.jpg,train,0.020004,0.650675,0.281887,0.275576,0.729142,126.599964,0.100841,0.197603,0.849132,0.695468,0.256069,0.109747,1.197388,5.573292,0.074778,11.030734,0.299079,0.316452,0.007937,0.530930,5.921304,0.037284,0.076248,0.066119,ok,low,ok,low,low,ok,low,ok,low,low,ok,ok,high,ok,ok,ok,high,ok,ok,high,high,ok,high,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0053,data/raw/images/syn_0053.jpg,train,0.028186,0.654589,0.235458,0.357526,0.763138,110.884554,0.166020,0.193394,0.946660,0.698925,0.250382,0.145586,1.081277,5.015989,0.114094,13.187214,0.229310,0.352716,0.005848,0.479121,1.538033,0.040584,0.041449,0.060422,high,low,low,ok,low,ok,high,ok,ok,low,ok,high,ok,ok,high,high,low,high,low,ok,ok,high,low,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0054,data/raw/images/syn_0054.jpg,train,0.024288,0.768691,0.271585,0.410171,0.830192,131.764705,0.150567,0.163997,0.940396,0.790758,0.258661,0.101594,1.013971,-1.047550,0.113814,3.486885,0.236855,0.345796,0.017850,0.516012,5.291771,0.029503,0.042442,0.065131,ok,high,ok,high,ok,high,ok,low,ok,ok,ok,ok,ok,low,high,low,low,high,ok,ok,high,ok,low,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0055,data/raw/images/syn_0055.jpg,train,0.027555,0.700387,0.229377,0.421958,0.920309,101.518313,0.163399,0.162361,0.895868,0.712601,0.241730,0.099167,0.958003,6.534924,0.085892,10.514926,0.298232,0.285092,0.012799,0.506908,5.766846,0.039193,0.071579,0.067228,high,ok,low,high,ok,low,high,low,ok,low,ok,low,ok,high,ok,ok,high,ok,ok,ok,high,high,high,high,percentile_p20_p80,synthetic,synthetic_v1
