sample_id,image_path,split,symmetry_error,face_aspect_ratio,midface_length_ratio,lowerface_length_ratio,jaw_width_ratio,jaw_angle_sharpness,chin_length_ratio,chin_width_ratio,cheekbone_width_ratio,lower_cheek_ratio,eye_openness_ratio,eye_size_ratio,eye_spacing_ratio,eye_tilt_deg,brow_height_ratio,brow_tilt_deg,nose_width_ratio,nose_length_ratio,nose_tip_deviation_ratio,mouth_width_ratio,mouth_corner_tilt_deg,lip_thickness_ratio,upper_lip_ratio,philtrum_ratio,y_symmetry_error,y_face_aspect_ratio,y_midface_length_ratio,y_lowerface_length_ratio,y_jaw_width_ratio,y_jaw_angle_sharpness,y_chin_length_ratio,y_chin_width_ratio,y_cheekbone_width_ratio,y_lower_cheek_ratio,y_eye_openness_ratio,y_eye_size_ratio,y_eye_spacing_ratio,y_eye_tilt_deg,y_brow_height_ratio,y_brow_tilt_deg,y_nose_width_ratio,y_nose_length_ratio,y_nose_tip_deviation_ratio,y_mouth_width_ratio,y_mouth_corner_tilt_deg,y_lip_thickness_ratio,y_upper_lip_ratio,y_philtrum_ratio,suggestion_ids,priority_order,annotator_id,label_method,consent_flag,source,feature_contract_version,yaw_deg,pitch_deg
lfw_01539,data/raw/images/lfw_01539.jpg,test,0.015807,0.871706,0.234294,0.456376,0.800653,108.820551,0.456376,0.320523,0.986930,0.895105,0.213234,0.192681,1.264460,-1.538150,0.108426,-2.096332,0.226628,0.192120,0.021215,0.441790,-0.402649,0.061337,0.020974,0.071428,ok,ok,low,high,ok,ok,high,ok,ok,ok,low,low,ok,ok,ok,ok,ok,low,ok,high,ok,high,low,ok,SUG_MIDFACE_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_CHIN_LONG_01|SUG_EYE_OPEN_LOW_01,SUG_MIDFACE_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_CHIN_LONG_01|SUG_EYE_OPEN_LOW_01,rules_v1,rules_v1,research_lfw,lfw,v1,-2.7506847213953733,-14.53903874192889
lfw_01595,data/raw/images/lfw_01595.jpg,test,0.030526,0.804899,0.246966,0.439885,0.790824,113.672082,0.439885,0.329600,0.981040,0.878713,0.321520,0.198884,1.316726,-0.049072,0.118379,-1.002671,0.228330,0.201008,0.085180,0.363464,0.379608,0.000626,0.030607,0.089105,high,low,ok,ok,ok,high,ok,ok,ok,ok,ok,ok,high,high,ok,ok,ok,ok,high,ok,high,low,ok,ok,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_FACE_ASPECT_LOW_01|SUG_JAW_ANGLE_HIGH_01,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_FACE_ASPECT_LOW_01|SUG_JAW_ANGLE_HIGH_01,rules_v1,rules_v1,research_lfw,lfw,v1,-12.124094434082508,-10.878592013542082
lfw_01729,data/raw/images/lfw_01729.jpg,test,0.034691,0.828117,0.260748,0.427524,0.799336,112.809515,0.427524,0.324960,0.986632,0.891281,0.278255,0.192460,1.289249,-1.640626,0.111918,-2.745893,0.234409,0.202384,0.076905,0.367389,-1.049990,0.013076,0.032388,0.087329,high,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,high,ok,ok,low,ok,ok,ok,ok,ok,ok,high,ok,SUG_SYM_HIGH_01|SUG_EYE_SIZE_LOW_01|SUG_EYE_WIDE_01|SUG_BROW_TILT_LOW_01,SUG_SYM_HIGH_01|SUG_EYE_SIZE_LOW_01|SUG_EYE_WIDE_01|SUG_BROW_TILT_LOW_01,rules_v1,rules_v1,research_lfw,lfw,v1,-10.747404053807259,-7.407848191659874
lfw_01852,data/raw/images/lfw_01852.jpg,test,0.027951,0.886741,0.262388,0.440981,0.822773,110.343456,0.440981,0.333881,0.992255,0.912440,0.204898,0.196067,1.288698,0.631797,0.102134,0.295944,0.238920,0.204216,0.067148,0.467559,-0.128229,0.052782,0.017901,0.058045,ok,high,ok,ok,high,ok,ok,high,high,high,low,ok,high,high,low,high,high,ok,ok,high,ok,high,low,low,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_WIDE_01|SUG_CHIN_WIDE_01|SUG_CHEEK_WIDE_01,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_WIDE_01|SUG_CHIN_WIDE_01|SUG_CHEEK_WIDE_01,rules_v1,rules_v1,research_lfw,lfw,v1,-9.393913306295872,-8.451956347016349
lfw_02185,data/raw/images/lfw_02185.jpg,test,0.034266,0.854276,0.240685,0.448753,0.805847,109.770404,0.448753,0.318505,0.987741,0.898781,0.251708,0.191022,1.259855,-0.836414,0.107869,-1.569576,0.220948,0.194844,0.077643,0.438678,-0.981055,0.049846,0.021989,0.060400,high,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,ok,ok,ok,ok,ok,low,ok,high,ok,high,ok,low,SUG_SYM_HIGH_01|SUG_EYE_SIZE_LOW_01|SUG_NOSE_SHORT_01|SUG_MOUTH_WIDE_01,SUG_SYM_HIGH_01|SUG_EYE_SIZE_LOW_01|SUG_NOSE_SHORT_01|SUG_MOUTH_WIDE_01,rules_v1,rules_v1,research_lfw,lfw,v1,-10.679252743721008,-12.761389082730298
lfw_02474,data/raw/images/lfw_02474.jpg,test,0.037527,0.845190,0.242898,0.435044,0.810485,110.389982,0.435044,0.331520,0.986838,0.897357,0.204071,0.196075,1.316162,-1.244938,0.140423,-1.676956,0.243572,0.205416,0.081348,0.421682,-1.593884,0.003434,0.026068,0.077452,high,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,ok,high,ok,high,ok,high,ok,high,ok,ok,low,ok,ok,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_EYE_OPEN_LOW_01|SUG_EYE_WIDE_01,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_EYE_OPEN_LOW_01|SUG_EYE_WIDE_01,rules_v1,rules_v1,research_lfw,lfw,v1,-11.268212400376797,-11.10826653626207
lfw_02643,data/raw/images/lfw_02643.jpg,test,0.014098,0.872249,0.280818,0.429570,0.825640,111.957509,0.429570,0.343665,0.991197,0.912630,0.263461,0.213660,1.247893,-2.743687,0.112869,-3.045728,0.253487,0.217925,0.050767,0.476118,-0.635083,0.038304,0.018759,0.059594,ok,ok,high,ok,high,ok,ok,high,high,high,ok,high,ok,low,ok,low,high,high,ok,high,ok,ok,low,low,SUG_MIDFACE_HIGH_01|SUG_JAW_WIDE_01|SUG_CHIN_WIDE_01|SUG_CHEEK_WIDE_01,SUG_MIDFACE_HIGH_01|SUG_JAW_WIDE_01|SUG_CHIN_WIDE_01|SUG_CHEEK_WIDE_01,rules_v1,rules_v1,research_lfw,lfw,v1,7.22843386977911,-4.445609423695595
lfw_02657,data/raw/images/lfw_02657.jpg,test,0.011634,0.842547,0.241579,0.465229,0.814193,112.092775,0.465229,0.344065,0.989930,0.904659,0.187781,0.195228,1.315121,-0.565036,0.093984,-1.146571,0.248947,0.196413,0.029089,0.487875,-0.547492,0.082450,0.022050,0.057618,ok,ok,ok,high,ok,ok,high,high,ok,high,low,ok,high,ok,low,ok,high,ok,ok,high,ok,high,ok,low,SUG_LOWERFACE_HIGH_01|SUG_CHIN_LONG_01|SUG_CHIN_WIDE_01|SUG_LOWER_CHEEK_HIGH_01,SUG_LOWERFACE_HIGH_01|SUG_CHIN_LONG_01|SUG_CHIN_WIDE_01|SUG_LOWER_CHEEK_HIGH_01,rules_v1,rules_v1,research_lfw,lfw,v1,-4.06824422813952,-14.077910843058133
lfw_02700,data/raw/images/lfw_02700.jpg,test,0.002727,0.871437,0.244935,0.455119,0.832958,108.497539,0.455119,0.334252,0.995696,0.920711,0.264056,0.191111,1.229947,-1.460605,0.109976,-1.487694,0.212791,0.198122,0.011837,0.357657,-1.599584,0.001540,0.026625,0.089755,low,ok,ok,high,high,low,high,high,high,high,ok,low,ok,ok,ok,ok,low,ok,low,ok,ok,low,ok,ok,SUG_LOWERFACE_HIGH_01|SUG_JAW_WIDE_01|SUG_JAW_ANGLE_LOW_01|SUG_CHIN_LONG_01,SUG_LOWERFACE_HIGH_01|SUG_JAW_WIDE_01|SUG_JAW_ANGLE_LOW_01|SUG_CHIN_LONG_01,rules_v1,rules_v1,research_lfw,lfw,v1,1.737307632341981,-12.621470681654646
lfw_02917,data/raw/images/lfw_02917.jpg,test,0.011220,0.820663,0.241146,0.443183,0.800076,111.429280,0.443183,0.326250,0.985591,0.889903,0.295016,0.197725,1.296854,-0.990898,0.115124,-0.619354,0.227001,0.199348,0.014720,0.348256,-4.950806,0.010801,0.029344,0.074091,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,high,ok,ok,ok,ok,ok,low,ok,low,ok,ok,ok,SUG_EYE_WIDE_01|SUG_MOUTH_TILT_LOW_01,SUG_EYE_WIDE_01|SUG_MOUTH_TILT_LOW_01,rules_v1,rules_v1,research_lfw,lfw,v1,2.166260118596256,-12.170893123642422
lfw_03308,data/raw/images/lfw_03308.jpg,test,0.018602,0.852966,0.268038,0.413888,0.791760,110.226588,0.413888,0.308938,0.982260,0.884006,0.333772,0.198616,1.210722,-1.774651,0.127777,-2.561974,0.217524,0.210098,0.033406,0.399010,-0.699578,0.006476,0.024114,0.077114,ok,ok,ok,low,ok,ok,low,low,ok,ok,high,ok,ok,ok,ok,low,ok,ok,ok,ok,ok,ok,ok,ok,SUG_LOWERFACE_LOW_01|SUG_CHIN_SHORT_01|SUG_CHIN_NARROW_01|SUG_EYE_OPEN_HIGH_01,SUG_LOWERFACE_LOW_01|SUG_CHIN_SHORT_01|SUG_CHIN_NARROW_01|SUG_EYE_OPEN_HIGH_01,rules_v1,rules_v1,research_lfw,lfw,v1,-4.5384799763560295,-4.849176584318051
lfw_03372,data/raw/images/lfw_03372.jpg,test,0.004131,0.919349,0.242762,0.445432,0.793921,105.281572,0.445432,0.316987,0.983181,0.887841,0.231953,0.198802,1.211110,-1.115897,0.110968,-1.713881,0.229660,0.199928,0.017307,0.468096,0.054185,0.067405,0.019654,0.055757,low,high,ok,ok,ok,low,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,high,ok,high,low,low,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_ANGLE_LOW_01|SUG_MOUTH_WIDE_01|SUG_LIP_FULL_01,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_ANGLE_LOW_01|SUG_MOUTH_WIDE_01|SUG_LIP_FULL_01,rules_v1,rules_v1,research_lfw,lfw,v1,2.5348569341003895,-12.104539100948111
lfw_03407,data/raw/images/lfw_03407.jpg,test,0.017813,0.774285,0.243489,0.437827,0.784467,112.994520,0.437827,0.302224,0.984177,0.881897,0.422376,0.193108,1.182370,-0.408211,0.140830,-1.057167,0.200627,0.198195,0.047636,0.326650,-1.894891,0.019842,0.036862,0.088507,ok,low,ok,ok,ok,ok,ok,low,ok,ok,high,ok,low,ok,high,ok,low,ok,ok,low,ok,ok,high,ok,SUG_FACE_ASPECT_LOW_01|SUG_CHIN_NARROW_01|SUG_EYE_OPEN_HIGH_01|SUG_EYE_CLOSE_01,SUG_FACE_ASPECT_LOW_01|SUG_CHIN_NARROW_01|SUG_EYE_OPEN_HIGH_01|SUG_EYE_CLOSE_01,rules_v1,rules_v1,research_lfw,lfw,v1,-6.7212529219686985,-11.271385893935072
lfw_03520,data/raw/images/lfw_03520.jpg,test,0.015956,0.881826,0.233258,0.441815,0.784255,106.354271,0.441815,0.304868,0.981167,0.878383,0.327294,0.209917,1.195221,-0.961684,0.137669,-0.496011,0.209731,0.190769,0.043772,0.361877,-2.718619,0.013925,0.030175,0.080348,ok,high,low,ok,ok,low,ok,low,ok,ok,high,high,low,ok,high,ok,low,low,ok,ok,low,ok,ok,ok,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_LOW_01|SUG_JAW_ANGLE_LOW_01|SUG_CHIN_NARROW_01,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_LOW_01|SUG_JAW_ANGLE_LOW_01|SUG_CHIN_NARROW_01,rules_v1,rules_v1,research_lfw,lfw,v1,6.021627835929394,-13.40444339636216
lfw_03549,data/raw/images/lfw_03549.jpg,test,0.026848,0.822445,0.245401,0.422457,0.764413,110.908167,0.422457,0.293227,0.975527,0.861443,0.326591,0.218119,1.165700,-0.176377,0.156406,0.817895,0.218944,0.199246,0.069910,0.425058,-1.166968,0.046904,0.025315,0.062008,ok,ok,ok,ok,low,ok,ok,low,low,low,high,high,low,ok,high,high,ok,ok,ok,ok,ok,high,ok,low,SUG_JAW_NARROW_01|SUG_CHIN_NARROW_01|SUG_CHEEK_NARROW_01|SUG_LOWER_CHEEK_LOW_01,SUG_JAW_NARROW_01|SUG_CHIN_NARROW_01|SUG_CHEEK_NARROW_01|SUG_LOWER_CHEEK_LOW_01,rules_v1,rules_v1,research_lfw,lfw,v1,9.808024182915688,-9.459836250556178
lfw_03555,data/raw/images/lfw_03555.jpg,test,0.005784,0.864077,0.333797,0.348842,0.761405,114.422574,0.348842,0.294846,0.973773,0.857891,0.350170,0.213085,1.145915,-1.744324,0.126351,-2.127301,0.226733,0.232649,0.006648,0.368508,-1.453108,0.018947,0.022953,0.065580,low,ok,high,low,low,high,low,low,low,low,high,high,low,ok,ok,ok,ok,high,low,ok,ok,ok,ok,low,SUG_MIDFACE_HIGH_01|SUG_LOWERFACE_LOW_01|SUG_JAW_NARROW_01|SUG_JAW_ANGLE_HIGH_01,SUG_MIDFACE_HIGH_01|SUG_LOWERFACE_LOW_01|SUG_JAW_NARROW_01|SUG_JAW_ANGLE_HIGH_01,rules_v1,rules_v1,research_lfw,lfw,v1,1.0725382966920733,12.416324416534025
lfw_03676,data/raw/images/lfw_03676.jpg,test,0.024398,0.890724,0.249333,0.442531,0.821409,108.023463,0.442531,0.327959,0.992417,0.912217,0.167029,0.201772,1.234855,-1.042520,0.109298,-1.297170,0.241928,0.206434,0.067356,0.497486,-0.590060,0.058531,0.015439,0.048499,ok,high,ok,ok,high,low,ok,ok,high,high,low,ok,ok,ok,ok,ok,high,ok,ok,high,ok,high,low,low,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_WIDE_01|SUG_JAW_ANGLE_LOW_01|SUG_CHEEK_WIDE_01,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_WIDE_01|SUG_JAW_ANGLE_LOW_01|SUG_CHEEK_WIDE_01,rules_v1,rules_v1,research_lfw,lfw,v1,9.588574089109898,-10.731800909279858
lfw_03752,data/raw/images/lfw_03752.jpg,test,0.021717,0.852344,0.255234,0.435560,0.807741,109.682220,0.435560,0.322174,0.988683,0.899281,0.329979,0.191572,1.213033,-1.277073,0.116047,-2.056783,0.221859,0.203881,0.047744,0.368324,0.257486,0.016488,0.029144,0.076804,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,high,low,ok,ok,ok,ok,ok,ok,ok,ok,high,ok,ok,ok,SUG_EYE_OPEN_HIGH_01|SUG_EYE_SIZE_LOW_01|SUG_MOUTH_TILT_HIGH_01,SUG_EYE_OPEN_HIGH_01|SUG_EYE_SIZE_LOW_01|SUG_MOUTH_TILT_HIGH_01,rules_v1,rules_v1,research_lfw,lfw,v1,-6.6836310513317585,-9.093748730502279
lfw_03775,data/raw/images/lfw_03775.jpg,test,0.007023,0.796788,0.242572,0.458876,0.818745,113.762984,0.458876,0.340490,0.991724,0.907268,0.336064,0.201445,1.235483,-1.940963,0.111850,-2.010341,0.228255,0.195408,0.026007,0.356941,-3.308913,0.016475,0.036018,0.087204,low,low,ok,high,high,high,high,high,high,high,high,ok,ok,ok,ok,ok,ok,low,ok,ok,low,ok,high,ok,SUG_FACE_ASPECT_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_JAW_WIDE_01|SUG_JAW_ANGLE_HIGH_01,SUG_FACE_ASPECT_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_JAW_WIDE_01|SUG_JAW_ANGLE_HIGH_01,rules_v1,rules_v1,research_lfw,lfw,v1,3.6520336847752333,-13.353081147379562
lfw_03783,data/raw/images/lfw_03783.jpg,test,0.033700,0.835481,0.246224,0.446799,0.801582,110.711777,0.446799,0.311970,0.989276,0.899347,0.277797,0.200193,1.132590,-2.031725,0.117625,-1.919606,0.220493,0.201817,0.088132,0.463587,-1.154106,0.075038,0.016698,0.060857,high,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,ok,ok,ok,ok,ok,high,high,ok,high,low,low,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_EYE_CLOSE_01|SUG_MOUTH_WIDE_01,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_EYE_CLOSE_01|SUG_MOUTH_WIDE_01,rules_v1,rules_v1,research_lfw,lfw,v1,12.32103469222784,-11.647819703095571
lfw_03801,data/raw/images/lfw_03801.jpg,test,0.016885,0.807392,0.239688,0.454097,0.799133,113.899423,0.454097,0.346880,0.986419,0.886943,0.288810,0.202550,1.377387,2.077250,0.101878,1.198607,0.248902,0.194006,0.041124,0.355602,2.407405,0.017410,0.037614,0.096878,ok,low,ok,high,ok,high,high,high,ok,ok,ok,ok,high,high,low,high,high,low,ok,ok,high,ok,high,high,SUG_FACE_ASPECT_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_JAW_ANGLE_HIGH_01|SUG_CHIN_LONG_01,SUG_FACE_ASPECT_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_JAW_ANGLE_HIGH_01|SUG_CHIN_LONG_01,rules_v1,rules_v1,research_lfw,lfw,v1,-5.674163483083248,-13.41372989637291
